contradiction	Toothbrush and pitcher lie on table. Gary asked for pitcher.	Gary also asked for toothbrush.
contradiction	Serviette and face wash lie on table. Virginia asked for face wash.	Virginia also asked for serviette.
contradiction	Food and flower pot lie on table. Colin asked for flower pot.	Colin also asked for food.
contradiction	Coaster and phone lie on table. Fred asked for phone.	Fred also asked for coaster.
contradiction	Toothpaste and file lie on table. Emma asked for file.	Emma also asked for toothpaste.
contradiction	Notebook and fork lie on table. Rachel asked for fork.	Rachel also asked for notebook.
contradiction	Snack and bowl lie on table. Elaine asked for bowl.	Elaine also asked for snack.
contradiction	Spoon and bottle lie on table. Lawrence asked for bottle.	Lawrence also asked for spoon.
contradiction	Serviette and glass lie on table. Carolyn asked for glass.	Carolyn also asked for serviette.
contradiction	Toothpaste and perfume lie on table. Karen asked for perfume.	Karen also asked for toothpaste.
contradiction	Mousepad and key lie on table. Emma asked for key.	Emma also asked for mousepad.
contradiction	Snack and fork lie on table. Sharon asked for fork.	Sharon also asked for snack.
contradiction	Key and napkin lie on table. Donna asked for napkin.	Donna also asked for key.
contradiction	Laptop and flower pot lie on table. Caroline asked for flower pot.	Caroline also asked for laptop.
contradiction	Serviette and bottle lie on table. Florence asked for bottle.	Florence also asked for serviette.
contradiction	Knife and fork lie on table. Pamela asked for fork.	Pamela also asked for knife.
contradiction	Bottle and serviette lie on table. Charlie asked for serviette.	Charlie also asked for bottle.
contradiction	Pitcher and plate lie on table. Cynthia asked for plate.	Cynthia also asked for pitcher.
contradiction	Toothbrush and eyeliner lie on table. Al asked for eyeliner.	Al also asked for toothbrush.
contradiction	Toothpaste and spoon lie on table. Harriet asked for spoon.	Harriet also asked for toothpaste.
contradiction	Knife and toothbrush lie on table. Kelly asked for toothbrush.	Kelly also asked for knife.
contradiction	Fork and bowl lie on table. Edward asked for bowl.	Edward also asked for fork.
contradiction	Serviette and book lie on table. Alfred asked for book.	Alfred also asked for serviette.
contradiction	Key and phone lie on table. Johnny asked for phone.	Johnny also asked for key.
contradiction	Bowl and cup lie on table. Jane asked for cup.	Jane also asked for bowl.
contradiction	Glass and laptop lie on table. Jane asked for laptop.	Jane also asked for glass.
contradiction	Serviette and perfume lie on table. Jimmy asked for perfume.	Jimmy also asked for serviette.
contradiction	Glass and laptop lie on table. Benjamin asked for laptop.	Benjamin also asked for glass.
contradiction	Key and mousepad lie on table. Angela asked for mousepad.	Angela also asked for key.
contradiction	Cookie and notebook lie on table. Joe asked for notebook.	Joe also asked for cookie.
contradiction	Book and pitcher lie on table. Grace asked for pitcher.	Grace also asked for book.
contradiction	Plate and key lie on table. Barbara asked for key.	Barbara also asked for plate.
contradiction	Coaster and bottle lie on table. Nancy asked for bottle.	Nancy also asked for coaster.
contradiction	Napkin and pin lie on table. Karen asked for pin.	Karen also asked for napkin.
contradiction	Cup and notebook lie on table. Hugh asked for notebook.	Hugh also asked for cup.
contradiction	Knife and plate lie on table. Alan asked for plate.	Alan also asked for knife.
