text,labels
police officers putting yellow tape from a doorway to a tree to stop bystanders from entering the area. //n police officers putting yellow tape from a doorway to a tree,0
"a young girl holds a younger boy, possibly her brother, surrounded by adults, in a public place. //n a young girl holds a young man possibly her brother in a public place",0
"a man is pulling his luggage through the street, while another man is sitting down. //n a man pulls his luggage while another man is sitting down",0
"one girl is standing on the street, and the other is crouching looking at something on the ground. //n one girl is standing on the sidewalk and the other is crouching",0
a boy is performing a trick on his skateboard beneath white clouds and a blue sky as four sitting guys watch him. //n a boy is riding a skateboard with four men watching,0
a man wearing a light blue sweatshirt is sitting at a table in front of a budweiser bottle. //n a male is seated near a budweiser bottle,0
a group of shirtless natives are dancing the night away next to a fire. //n a group of native people are dancing in front of a fire,0
two boys run after a soccer ball during a game. //n two boys run after a ball,0
"a baby in pajamas is sitting in a suitcase, rummaging through its contents. //n a child is sitting in a suitcase",0
"a lady sits in a chair, in front of a graffiti covered wall with a cart full of bags. //n a person sits in a chair in front of a wall with a cart full of bags",0
small black and white dog wearing a red harness is running around with a ball in its mouth. //n small black and white dog wearing a red harness is running around,0
the person wearing the red hard hat is on the mountain. //n a person wears a hard hat on the mountain,0
a man tied to ropes scaling a building. //n a man climbs a building,0
a man is skateboarding in front of a group of people. //n a man skateboards in front of people,0
a man is walking along side a yellow bike on a sidewalk. //n a man is walking a bike,0
"a young, brunette man jumps over a metal railing while smiling. //n a man jumps over a railing",0
two referees watch as two martial artists fight. //n two referees are watching as martial artists fight,0
the dog is running through the yard. //n a dog is running through the yard,0
two children stand in the grass while a white dog bites one of their sweaters. //n two kids standing in the grass and a white dog biting one of their sweaters,0
a woman is focusing on her game of curling. //n a woman is focusing on her game,0
they are in love with each other. //n the two people are in love,0
a few people are on sitting on a train. //n a group of people are on a train,0
a man in a green shirt and a cowboy hat is wrangling a bull as the audience looks on. //n a man is wrangling a bull,0
"man and women both vaguely clothed, with their arms interlocked between each other. //n the man and women are both vaguely clothed with their arms interlocked between their bodies",0
a woman is throwing a javelin on a pink track. //n a woman is throwing something on a track,0
many people wait for the train. //n the train is waiting,0
