,text,labels
0,An Irishman won the nobel prize for literature. //n An Irishman won a nobel prize.,0
1,No delegate finished the report on time. //n No delegate finished the report.,1
2,Some delegates finished the survey on time. //n Some delegates finished the survey.,0
3,Many delegates obtained interesting results from the survey. //n Many delegates obtained results from the survey.,0
4,Several delegates got the results published in major national newspapers. //n Several delegates got the results published.,0
5,Both commissioners used to be leading businessmen. //n Both commissioners used to be businessmen.,0
6,Neither commissioner spends a lot of time at home. //n Neither commissioner spends time at home.,1
7,At least three commissioners spend a lot of time at home. //n At least three commissioners spend time at home.,0
8,At most ten commissioners spend a lot of time at home. //n At most ten commissioners spend time at home.,1
9,An Irishman won a nobel prize. //n An Irishman won the nobel prize for literature.,1
10,Some delegates finished the survey. //n Some delegates finished the survey on time.,1
11,Many delegates obtained results from the survey. //n Many delegates obtained interesting results from the survey.,1
12,Several delegates got the results published. //n Several delegates got the results published in major national newspapers.,1
13,Both commissioners used to be businessmen. //n Both commissioners used to be leading businessmen.,1
14,At least three commissioners spend time at home. //n At least three commissioners spend a lot of time at home.,1
15,At most ten commissioners spend time at home. //n At most ten commissioners spend a lot of time at home.,0
16,No Scandinavian delegate finished the report on time. //n Some delegate finished the report on time.,1
17,Some Irish delegates finished the survey on time. //n Some delegates finished the survey on time.,0
18,Many British delegates obtained interesting results from the survey. //n Many delegates obtained interesting results from the survey.,1
19,Several Portuguese delegates got the results published in major national newspapers. //n Several delegates got the results published in major national newspapers.,0
20,Most Europeans who are resident in Europe can travel freely within Europe. //n Most Europeans can travel freely within Europe.,1
21,A few female committee members are from Scandinavia. //n At least a few committee members are from Scandinavia.,0
22,Few female committee members are from southern Europe. //n Few committee members are from southern Europe.,1
23,Both female commissioners used to be in business. //n Both commissioners used to be in business.,1
24,Neither female commissioner spends a lot of time at home. //n One of the commissioners spends a lot of time at home.,1
25,At least three female commissioners spend time at home. //n At least three commissioners spend time at home.,0
26,At most ten female commissioners spend time at home. //n At most ten commissioners spend time at home.,1
27,Some delegates finished the survey on time. //n Some Irish delegates finished the survey on time.,1
28,Many delegates obtained interesting results from the survey. //n Many British delegates obtained interesting results from the survey.,1
29,Several delegates got the results published in major national newspapers. //n Several Portuguese delegates got the results published in major national newspapers.,1
30,Most Europeans can travel freely within Europe. //n Most Europeans who are resident outside Europe can travel freely within Europe.,1
31,A few committee members are from Scandinavia. //n At least a few female committee members are from Scandinavia.,1
32,Few committee members are from southern Europe. //n Few female committee members are from southern Europe.,0
33,Both commissioners used to be in business. //n Both female commissioners used to be in business.,1
34,Neither commissioner spends a lot of time at home. //n One of the female commissioners spends a lot of time at home.,1
35,At least three commissioners spend time at home. //n At least three male commissioners spend time at home.,1
36,At most ten commissioners spend time at home. //n At most ten female commissioners spend time at home.,0
37,Pluto and Uranus are now directly aligned with Neptune. //n Pluto or Uranus is now directly aligned with Neptune.,0
38,Pluto or Uranus is now directly aligned with Neptune. //n Pluto and Uranus are now directly aligned with Neptune.,1
39,Alan took his vacation in California. //n Both Alan and Bob took their vacations in California.,1
40,Both Alan and Bob took their vacations in California. //n Alan took his vacation in California.,0
41,Socrates is rational. //n Someone is rational.,0
42,Some dogs like to scratch their ears. //n Some animals like to scratch their ears.,0
43,Some animals like to scratch their ears. //n Some dogs like to scratch their ears.,1
44,Cruz has frequently derided as amnesty various plans that confer legal status or citizenship on people living in the country illegally. //n Cruz has frequently derided as amnesty various bills that confer legal status or citizenship on people living in the country illegally.,1
45,Cruz has frequently derided as amnesty various bills that confer legal status or citizenship on people living in the country illegally. //n Cruz has frequently derided as amnesty various plans that confer legal status or citizenship on people living in the country illegally.,0
46,"In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding. //n In many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.",0
47,"In many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding. //n In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.",1
48,We consider some context words as positive examples and sample negatives at random from the dictionary. //n We consider some words as positive examples and sample negatives at random from the dictionary.,0
49,We consider some words as positive examples and sample negatives at random from the dictionary. //n We consider some context words as positive examples and sample negatives at random from the dictionary.,1
50,We consider all context words as positive examples and sample negatives at random from the dictionary. //n We consider all words as positive examples and sample negatives at random from the dictionary.,1
51,We consider all words as positive examples and sample negatives at random from the dictionary. //n We consider all context words as positive examples and sample negatives at random from the dictionary.,0
52,All dogs like to scratch their ears. //n All animals like to scratch their ears.,1
53,All animals like to scratch their ears. //n All dogs like to scratch their ears.,0
54,Cruz has frequently derided as amnesty any plan that confers legal status or citizenship on people living in the country illegally. //n Cruz has frequently derided as amnesty any bill that confers legal status or citizenship on people living in the country illegally.,0
55,Cruz has frequently derided as amnesty any bill that confers legal status or citizenship on people living in the country illegally. //n Cruz has frequently derided as amnesty any plan that confers legal status or citizenship on people living in the country illegally.,1
56,"In all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding. //n In all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.",0
57,"In all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding. //n In all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.",1
58,"The latest fatal incident, reported Monday morning, killed a 17-year-old boy and wounded a woman. //n The latest incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.",1
59,"The latest incident, reported Monday morning, killed a 17-year-old boy and wounded a woman. //n The latest fatal incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.",0
60,No bathroom bill made it to abbott’s desk by the end of the legislative session in may. //n No bills made it to abbott’s desk by the end of the legislative session in may.,1
61,No bills made it to abbott’s desk by the end of the legislative session in may. //n No bathroom bill made it to abbott’s desk by the end of the legislative session in may.,0
62,No bathroom bill made it to abbott’s desk by the end of the legislative session in may. //n A bill made it to abbott’s desk by the end of the legislative session in may.,1
63,A bill made it to abbott’s desk by the end of the legislative session in may. //n No bathroom bill made it to abbott’s desk by the end of the legislative session in may.,1
64,Missouri lawmakers are considering a government boycott of companies that boycott Israel. //n Missouri lawmakers are considering a boycott of companies that boycott Israel.,0
65,Missouri lawmakers are considering a boycott of companies that boycott Israel. //n Missouri lawmakers are considering a government boycott of companies that boycott Israel.,1
66,The crown prince's mother wouldn't be the first saudi royal whose movements were restricted since June 2017. //n The crown prince's mother wouldn't be the first royal whose movements were restricted since June 2017.,0
67,The crown prince's mother wouldn't be the first royal whose movements were restricted since June 2017. //n The crown prince's mother wouldn't be the first saudi royal whose movements were restricted since June 2017.,1
68,Last time I visited was nearly 6 months ago and I am still finding husky fur on my socks. //n Last time I visited my friend was nearly 6 months ago and I am still finding husky fur on my socks.,1
69,Last time I visited my friend was nearly 6 months ago and I am still finding husky fur on my socks. //n Last time I visited was nearly 6 months ago and I am still finding husky fur on my socks.,1
70,You know that some life changing actions must be taken when grandma reacts with the sad emoji. //n You know that some actions must be taken when grandma reacts with the sad emoji.,0
71,You know that some actions must be taken when grandma reacts with the sad emoji. //n You know that some life changing actions must be taken when grandma reacts with the sad emoji.,1
72,You know that some life changing actions must be taken when grandma reacts with the sad emoji. //n You know that some life-changing actions must be taken when grandma reacts with emoji.,1
73,You know that some life-changing actions must be taken when grandma reacts with emoji. //n You know that some life changing actions must be taken when grandma reacts with the sad emoji.,0
74,I have never seen a hummingbird not flying. //n I have never seen a hummingbird.,1
75,I have never seen a hummingbird. //n I have never seen a hummingbird not flying.,0
76,I have never seen a hummingbird not flying. //n I have never seen a bird not flying.,1
77,I have never seen a bird not flying. //n I have never seen a hummingbird not flying.,0
