Premise,Proof,Hypothesis,Correctness,Minimality,Useful Facts,"Hypothesis
Follows"
a young family enjoys feeling ocean waves lap at their feet,"Fact: ocean waves approach beaches.
Composition / Monotone: a family is at a beach

",a family is at the beach,0.0,1.0,0.0,0.0
3 young man in hoods standing in the middle of a quiet street facing the camera,"Fact: black people with a lot of words
Composition / Monotone: 3 people in hoods face the camera

Fact: a camera is for taking a picture
Composition / Monotone: three people in hoods pose for a picture

Fact: a camera takes pictures
Composition / Monotone: three people in hoods pose for a picture

",three hood wearing people pose for a picture,2.0,0.0,1.0,2.0
a man standing in front of a building on the phone as two men to the side pain on the side,"Fact: if we are men we a are guys
Composition / Monotone: two other guys are next to the guy standing in front of the building

",a guy near a building stands by two other men,1.0,1.0,1.0,2.0
a man in a black shirt overlooking bike maintenance,"Fact: maintenance is a repair
Composition / Monotone: a man is watching bike repairs

Fact: repair is a form of maintenance
Composition / Monotone: a man watches bike repair

",a man watches bike repairs,2.0,1.0,1.0,2.0
a dog jumping for a frisbee in the snow,"Fact: a frisbee is a toy.
Composition / Monotone: a dog is playing with a toy in the snow

Fact: a frisbee is made of plastic.
Composition / Monotone: an animal plays with a plastic ball in the snow

Fact: snow comes down in cold weather 
Composition / Monotone: a animal plays with a plastic ball in the cold weather

Fact: a dog is a kind of animal
Composition / Monotone: an animal playing with plastic ball in the cold weather

",an animal is outside in the cold weather playing with a plastic toy,1.0,3.0,4.0,2.0
three boys in white shirts are walking behind an older model ford car,"Fact: cars are located in street corners.
Composition / Monotone: there are several boys on the street

",the boys are on the street,1.0,1.0,1.0,2.0
a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land,"Fact: a hand is part of the arm
Composition / Monotone: a person is swimming

",a person is swimming,1.0,1.0,0.0,1.0
five girls and two guys are crossing a overpass,"Fact: guys meet girls.
Composition / Monotone: there are people outdoors

Fact: girls see guys.
Composition / Monotone: there are people outside

",there are people outside,2.0,1.0,1.0,2.0
a man of the cloth puts a black substance on a mans forehead,"Fact: a forehead is part of a head.
Composition / Monotone: a man puts something on another mans head

Fact: a forehead is part of a head
Composition / Monotone: a man puts something on the other mans head

",the man puts something on the other mans head,2.0,1.0,1.0,2.0
a group of adults stands in the bathroom looking down a small child in the bath,"Fact: people can join  a group
Composition / Monotone: people are inside the house

",people are in the house,1.0,1.0,0.0,1.0
a man woman and child get their picture taken in front of the mountains,"Fact: a family can plan a vacation
Composition / Monotone: a family gets their picture taken on vacation

Fact: the family can plan to go on vacation
Composition / Monotone: a family has a picture taken on vacation

",a family on vacation is posing,2.0,1.0,1.0,2.0
a dog standing near snow looking at water,"Fact: dog is a type of animal.
Composition / Monotone: the animal is outdoors

Fact: a dog is a kind of animal
Composition / Monotone: the animal is outdoors

",animal is outdoors,2.0,1.0,1.0,2.0
the american footballer in yellow catches the ball whilst under pressure from the payer in white,"Fact: a duress is a force
Composition / Monotone: the football player is under duress

",the football player is under duress,0.0,1.0,0.0,1.0
a biker races,"Fact: a riding is a sport
Composition / Monotone: a person is riding a bike

",a person is riding a bike,1.0,1.0,0.0,2.0
island native fishermen reeling in their nets after a long days work,"Fact: today is the day it is right now
Composition / Monotone: the native fishermen are finishing their days work

",the men are finishing their day of work,1.0,1.0,0.0,0.0
young woman is putting her clothes in the dryer portion of a double stacked washer and dryer unit,"Fact: a lady is a woman
Composition / Monotone: a woman is drying clothes

Fact: lady is a woman.
Composition / Monotone: a person drying clothes

",a person drying clothes,2.0,1.0,0.0,1.0
everyone on the street in the city seem to be busy doing their own thing,"Fact: stores are business.
Composition / Monotone: people are doing business in the city

",people are conducting business in the city,0.0,1.0,0.0,0.0
