text,labels
"oh i bet it doesn't mix well does it //n I bet it doesn't mix well, does it?",0
I think that the poor population in the true rural areas will benefit from more attorneys with a wide range of expertise. //n I think they will benefit from the new attorneys.,0
"Despite the exceptions pointed out above, most experienced gamblers have little patience for the novice, as they see them as a bad omen in the already frustrating situation of having to beat odds that are set against them. //n Beginners are seen as bad luck for seasoned gamblers.",0
"As you climb over the remains, you'll find they have a decidedly secular air. //n After climbing over the remains, you have secular air.",0
"The dude's name is Michal, and he's a noob like I've never met before, Kudu slowly drawled his words with care and precision, like 'cision' in the word 'precision'. //n Michal's pronunciation of words are pronounced slowly.",0
"As Ca'daan turned, he saw the man draw a sharp knife from his leg wrappings, cut a pouch and belt from the man at his feet, and quietly ran the blade across the man's throat under his leather neck guard. //n Ca'daan looked at the man holding the knife.",0
You'll want to return here to browse the Boulevard Galleries of art set up around the square on summer weekends. //n Summer weekends are popular on the square.,0
The author postulates that Ted hates David because David got married while Ted remained alone. //n The author claims that Ted hates David because David married while Ted remained single. ,0
"In all of these cases, legal services would be barred from assisting the worker in these valid employment contract claims. //n Legal services would be prevented from helping the worker in these employment contract claims. ",0
Postal Service witness Bradley in Docket No. //n Postal service witnessed Bradley ,0
he says its exactly half way between Shreveport and Dallas //n Our destination is at the midpoint between Shreveport and Dallas.,0
"Evenin', gov'nor, said the man with a leer. //n The man spoke with a cockney accent.",0
"To begin with, the resources of Tommy's pockets were somewhat limited. //n Tommy was low on cash.",0
"The fresh pork is cut into  bellies  and scored to make it easier to cook and serve. //n To easily cook fresh pork, you can cut it into bellies.",0
well it's been really good we talked about this for a few minutes and uh hopefully we'll have another good topic maybe another call someday but i i don't really have too much more to say on this topic i guess //n I've said everything I wanted to about this topic.,0
But why should he shield her? //n But why should she defend her?,0
Reno's deserved reputation for integrity is merely negative. //n The perception of Reno's high value of honesty is a negative trait. ,0
um she didn't up until the last oh six months //n She started six months ago.,0
"It meant explanations, and general awkwardness. //n It means explanations and awkwardness.",0
"When Wallace was captured, the Scots looked for a new leader and discovered one in Robert the Bruce, grandson of the Robert de Brus rejected by Edward in 1292. //n The Scots found a new leader named Robert the Bruce.",0
so uh let's see what else uh see like all we do here is like every time we walk in the room we turn on the TV //n The TV is turned on whenever any of us walk in the room,0
It made my brain reel… . //n It made my head spin.,0
They said that each agency and each rulemaking is somewhat different. //n They said that each agency and each rulemaking is somewhat different.,0
do what you can when you can right then as long as you feel good about yourself and what you're doing to help i think that's more important than //n It's more important if you feel good about yourself while you do what you can.,0
they don't want us go out on the beach you know said it was very dangerous //n They don't want us going to the beach because it's dangerous,0
Population density in the former ranges from very high (New York City) to very low (Wyoming and Montana). //n The population density ranges from extremely high to amazingly low.,0
"it's it's almost four hundred hours i mean i mean it it's almost four hundred you know barring traffic it's four hundred hours i mean i mean four hundred miles four hundred hours right  four hundred miles //n Its a grueling four hundred hours, or maybe its 400 miles. ",0
"Often left out of the tour group itinerary, this part of the west bank can be much quieter than the better-known attractions, but they offer some interesting insights into Egyptian life and some excellent remains. //n This part of the west bank is not usually toured.  ",0
"For one thing, many of the largest federal agencies find themselves encumbered with structures and processes rooted in the past, aimed at the demands of earlier times, and designed before modern information and communications technology came into being. //n There are structures developed from the past that many large federal agencies are encumbered with.",0
but yet they're not helping us with the companies //n They're not assisting us with the companies.,0
"Emanating from Bob Dole's new, souped-up prostate. //n Bob Dole has a new prostrate.",0
Inside the Salmon Corporation never felt relaxed- but rarely were things wound this tight. //n The Salmon Corporation was never calm.,0
"Be careful, Mr. Inglethorp. Poirot was fidgeting nervously.  //n Take care Mr. Inglethorp.",0
"So, if the war was constitutional in 1991-92, the war is still constitutional now--nothing in the resolution specified a time limit. //n The resolution does not specify when the war stops being constitutional.",0
A participant added that earlier mandatory internal control reporting probably would have surfaced problems with ineffective boards of directors and audit committees. //n A participant added that earlier mandatory internal control reporting probably would have surfaced problems with ineffective boards of directors and audit committees.,0
"The back walls of the pylon have scenes of the yearly meetings of Horus and his consort Hathor, who traveled on a sacred barque (slender boat) from her temple at Denderah for the reunion on the Nile. //n A consort of Horus was named Hathor.  ",0
uh interestingly enough in my younger days i taught school for two years while my husband was getting his business established and i find the changes uh in the school system //n The school system has changed.,0
"Otherwise, death!"" Tommy leaned back wearily. //n Tommy tiredly stated that death is an option.",0
They did not see the need for the separate category of RSSI. //n They didn't see the reason to make a new category.,0
"If it was humor, he didn't get it. //n He did not understand the joke. ",0
i don't think that's good //n I don't think that is good,0
"Just give them a small taste, said Jon. //n Jon thought it would be good to let them get a little taste.",0
"It's a little known perk available to anyone 60 or  21 states, Washington D.C., and Puerto Rico operate legal-assistance hot lines for older adults and most take calls from younger caregivers as well. //n There is a little-known perk geared towards older adults in need of legal assistance.",0
"yeah well gee well that sounds neat and you do that like like almost every day or what about weekends //n That sounds cool that you do that during the week, how about the weekends?",0
The third installment in McCarthy's trilogy about cowboys in the mid-20 th century seals his canonization. //n McCarthy has a trilogy.,0
"Interviewed by the British Journalism Review about the extent of his personal interference in the editorial policies of his newspapers, which include the Independent , Tony O'Reilly, chairman of the Heinz food company, said he gives his editors absolutely free rein provided they abide by some general rules. //n The extent of his interference in his newspapers was brought up at the British Journalism Review interview.",0
"yeah well see and there's another thing about the justice system that i don't like and there's a lot of people that tell me that that maybe my thoughts are wrong i came from California //n There is something else I don't like about the justice system, but a lot of people tell me that my thinking is wrong, perhaps because I am from California.",0
But yuppies--or at least the suburbanized offspring of Slats Grobnik--were increasingly his audience and his newsroom colleagues. //n The audience was increasing among yuppies. ,0
"Exquisite stone carving, wood turning, copper/brasswork, and ceramic tiling are the main features of Islamic architecture and the period buildings, mosques (Islamic places of worship), madrasas (Islamic religious schools), khans and bayts (private homes) are very impressive. //n The main features of Islamic architecture involves a wide variety of materials.",0
'But...how?' I goggled. //n I was confused.,0
"The discount rate used for the calculation is the average interest rate (yield) on marketable Treasury securities of similar maturity to the loan guarantees, applicable to the time when the guaranteed loans are disbursed. //n The discount rate is the average yield of treasury securities.",0
quality education you know //n It's quality education. ,0
"Here's one, from criminologist John  There is so much crime without punishment in America today because recent generations of social and political elites, both liberal and conservative, have liberated themselves from the belief that criminals are free moral agents and that publicly sanctioned punishments are what they justly deserve. //n John beiebes there are a lot of crimes that go unpunished. ",0
