text,labels
A bunk bed is used for sleeping by two boys. //n Sleeping is when one person sleeps in another person's bed.,0
The dog is a kind of animal. //n Animals are usually white in color.,0
People are having fun. //n Dancing is a kind of activity.,0
Boy walks on sidewalk. //n If boy walks on something then that boy is walking on that something.,0
A strawberry is a kind of food. //n Smiling is a kind of greeting.,0
A boy stands on a rail with his arms outstretched. //n A girl is a kind of boy.,0
A dog is happy. //n A dog is a kind of animal.,0
People walk on sidewalks. //n If something is on a sidewalk then that something is moving.,0
A man is throwing his flute in the trash. //n A flute is a kind of musical instrument.,0
Brown dog is a kind of animal. //n Animals drink water from a bowl.,0
Duck is a kind of aquatic animal. //n Aquatic animals live in ponds.,0
Two men are sitting in a chair. //n Sitting is the opposite of sleeping.,0
Animals live in bodies of water. //n A body of water is a kind of liquid.,0
"A skateboarder dressed in black jeans, white shirts and red ball cap jumps off a ramp. //n A skateboarder performs a stunt mid-air after jumping off a ramp.",0
Two dogs live in a house near the ocean. //n A house is a kind of place.,0
There are two groups of people by a lake. //n Talking is a kind of communication.,0
Two people want to walk through a green wooded area. //n A green wooded area is a kind of forest.,0
A tricycle is used for traveling. //n A child is a kind of young person.,0
A child sits in a sandy field. //n A sandy field is a kind of field.,0
A man cuts grass. //n Cutting grass is a kind of method for mowing grass.,0
Blue eyes are a kind of color. //n The boy has blue eyes.,0
A guy is looking at himself in the mirror. //n If something is looking at you then that something is in front of you.,0
A person sitting down is an example of a sitting down. //n Sitting is a kind of position.,0
A kid is a kind of animal. //n Animals eat their prey.,0
Some men are out on the street. //n If something is out on the street then that something is walking down the street.,0
A kid carrying a ball in front of a large house is an example of an animal carrying a ball. //n An animal is a kind of animal.,0
A tattooed woman is moving away from the camera. //n If something is moving away from the camera then that something is not moving towards the camera.,0
There is a human. //n A man is a kind of living thing.,0
Two men are walking on a sidewalk. //n Jogging is a kind of exercise.,0
A person is skiing. //n Skis are used for traveling.,0
The woman is wearing a pin kshirt. //n A pin kshirt is a kind of shirt.,0
A woman is getting photos taken inside. //n A man is getting photos taken outside.,0
The kids went to sleep in their beds. //n If something goes to sleep then that something is fast asleep.,0
The women sit on the ground. //n If something is on the ground then that something is dry.,0
A couple are cooking. //n The kitchen is a kind of place.,0
A man stands outside a huge building with a camera. //n A camera can be used for capturing images.,0
A dragster is a kind of vehicle. //n Men look at vehicles.,0
People are moving outdoors. //n Moving outdoors requires walking.,0
The girl is holding a stuffed animal. //n A cat is a kind of animal.,0
A man tearing down window curtains is an example of a human tearing things down. //n If something is an example of a human tearing something down then that something is the opposite of that man tearing something down.,0
The boy was in a classroom. //n A classroom is a kind of place.,0
A truck bed is empty. //n If something is empty then that something is not in use.,0
Five people are walking down the street. //n If something is walking down a street then that something is standing in the street.,0
People are sick. //n If something causes something else then that something else is throwing up.,0
The woman is lying down on the bed. //n Sleeping is when an animal sleeps.,0
Some people are not in their cars. //n If something is not in their car then that something is not communicating outside of that something.,0
Two men are outside working. //n If something is outside working then that something is not working.,0
A man is carrying a bucket of water. //n A bucket of potatoes is a kind of container for water.,0
The camera is facing the subject. //n If something is facing something else then that something else is facing that something.,0
The children want to have their photo taken. //n Taking a photo is a kind of method for taking a photo.,0
A child sits next to her father at the store. //n A father and a daughter both work in a store.,0
Some musicians are in a group. //n A group means a group of a certain kind of person.,0
An animal running is an example of an animal running. //n A human is a kind of animal.,0
"A man looks past the camera while a girl sits behind him. //n If something is seen by another person, then the other person is not looking at that something.",0
Two women want to become the best at something. //n Fight is a kind of competition.,0
The men are climbing a mountain. //n Climbing a mountain requires experience.,0
The two guys are sitting in a living room. //n A guitar is a kind of musical instrument.,0
A man is a kind of animal. //n Animals sleep.,0
An old man is on stage. //n If an old man is on stage then that old man is on stage.,0
A rugby player admires pictures of past matches. //n A rugby player is a kind of person.,0
A girl is walking. //n Sitting is the opposite of standing.,0
A man goes bowling. //n A bowling alley is a kind of place.,0
Kids are running around the yard. //n If something is running around then that something is jumping.,0
The cook is preparing food for the family. //n A meal is a kind of food.,0
A male is playing an instrument while wearing a white hat. //n An electric guitar is a kind of instrument.,0
Couple takes a city tour. //n A carriage is used for taking tourists around the city.,0
Nothing is moving. //n If something is not moving then that something is not walking.,0
A boy buys a purse from an old man. //n A purse is usually a kind of purchase.,0
The man's clothes are wet. //n If something is wet then that something is wet.,0
After music it is time to have a little snack. //n Tea is a kind of snack.,0
A dog is a kind of animal. //n Animals are covered in fabric pieces.,0
A woman drives a car. //n A semi truck is a kind of car.,0
A soccer ball is a kind of object. //n Green is a kind of color.,0
A man is looking at an object. //n An object is inspected by a person.,0
The people are jumping off the rocks at the beach. //n Skipping rocks is a kind of activity.,0
The bald man is not singing. //n If an animal is not singing then that animal is not singing.,0
A woman points. //n Pointing is a kind of action.,0
The girl is on the ground. //n If something is on something else then that something is not on that something else.,0
A boy goes to the pool. //n A pool is a kind of place.,0
